building_id,source_name,url
1,591實價登錄（富綠旺）,https://market.591.com.tw/27084/price
1,5168比價王（新北大道七段233號7樓）,https://price.houseprice.tw/dealcase/9742792/
1,5168比價王（新北大道七段路段）,https://price.houseprice.tw/list/新北市_city/新北大道七段_kw/
1,內政部不動產交易實價查詢服務網,https://lvr.land.moi.gov.tw/
2,591實價登錄（土城社區列表）,https://market.591.com.tw/list?regionId=3&sectionId=39
2,5168比價王（中華新城乙基地，周邊參考）,https://community.houseprice.tw/building/23521/price/
2,永慶房屋（向陽華城，周邊參考）,https://community.yungching.com.tw/building/27586
2,永慶房屋（皇家宮廷，周邊參考）,https://community.yungching.com.tw/building/27331
2,內政部不動產交易實價查詢服務網,https://lvr.land.moi.gov.tw/
3,591土地實價登錄（綠島鄉）,https://land.591.com.tw/price?region=22&section=342&land_shape=5
3,樂屋網（綠島鄉南寮）,https://www.rakuya.com.tw/realprice/result?zipcode=951&search=route&keyword=%E5%8D%97%E5%AF%AE
3,永慶房屋實價登錄（綠島鄉）,https://evertrust.yungching.com.tw/regionall/%E5%8F%B0%E6%9D%B1%E7%B8%A3/%E7%B6%A0%E5%B3%B6%E9%84%89/
3,內政部不動產交易實價查詢服務網,https://lvr.land.moi.gov.tw/
